author_id_from,author_screen_name_from,status_id,to,edge_type
1221415440,sarahshirazyan,432042968157913088,stanford,hashtag
1221415440,sarahshirazyan,432042968157913088,CISAC,hashtag
1221415440,sarahshirazyan,427937258759409665,euromaidan,hashtag
1221415440,sarahshirazyan,427936682118090753,Maidan,hashtag
1221415440,sarahshirazyan,427932620727402498,Euromaidan,hashtag
1221415440,sarahshirazyan,413445817723129856,NSA,hashtag
1221415440,sarahshirazyan,410450878751981568,May2014,hashtag
1221415440,sarahshirazyan,410450878751981568,lawandsociety,hashtag
1221415440,sarahshirazyan,410450878751981568,callforpapers,hashtag
1221415440,sarahshirazyan,409942944590733313,NSA,hashtag
215374612,nataschachtena,1314372860455002112,postdoc,hashtag
215374612,nataschachtena,1314372860455002112,brownuniversity,hashtag
215374612,nataschachtena,1314372860455002112,digitalscholarship,hashtag
215374612,nataschachtena,1314372860455002112,diversity,hashtag
215374612,nataschachtena,1291538300675559428,2020Election,hashtag
215374612,nataschachtena,1291538300675559428,disinformation,hashtag
215374612,nataschachtena,1283109582902943750,notsponsored,hashtag
215374612,nataschachtena,1264633143828418565,icanteven,hashtag
215374612,nataschachtena,1257400288903753728,edtech,hashtag
215374612,nataschachtena,1251543091456049154,AI,hashtag
215374612,nataschachtena,1251543091456049154,data,hashtag
215374612,nataschachtena,1240682839936385025,goals,hashtag
215374612,nataschachtena,1235310733430226949,designjustice,hashtag
215374612,nataschachtena,1235310733430226949,valuesindesign,hashtag
215374612,nataschachtena,1235310733430226949,diversity,hashtag
215374612,nataschachtena,1227386657407528960,storyofmylife,hashtag
215374612,nataschachtena,1224845430938189824,opentextbook,hashtag
215374612,nataschachtena,1224845430938189824,openeducation,hashtag
215374612,nataschachtena,1224814249500741633,firstgen,hashtag
215374612,nataschachtena,1224814249500741633,academichatter,hashtag
215374612,nataschachtena,1214293305162207232,TheFutureOfLearningIsAccessible,hashtag
215374612,nataschachtena,1208511634357964800,highered,hashtag
215374612,nataschachtena,1191792601021607936,OpedEd19,hashtag
215374612,nataschachtena,1190127769100808193,OpenEd19,hashtag
215374612,nataschachtena,1190127769100808193,OEP,hashtag
215374612,nataschachtena,1190053843343568897,OER,hashtag
215374612,nataschachtena,1189939955180560386,OER,hashtag
215374612,nataschachtena,1187401347773059073,OER,hashtag
215374612,nataschachtena,1187035861457625088,bestcolleagueaward,hashtag
