screen_name
LotusOak2
ISRAEL_PREDATOR
thereal_truther
crwriter1
SNCCLA
mcfunny
paul_kangas
45HammerTime
doritmi
HomeAttention
Charbrevolution
9_11_IsAnInside
BeckyJohnson222
kidoctr
Iconoclastttt
Rosewind2007
PlumRemson
CoercedTaxSlave
kuriousmind93
PositivelyJoan
Wallace_Noll
Boxmenot
susan_welch7
AntivaxBot
epochchanger
Just4TheCause
LaughlandMorgan
VeritasEver
Sheldon_Walker_
KayyylaBrunkow
TakeThatCDC
krebiozen
Sheeple101
BastaPharma
TruthVax
Siubhan_H
samanda666
PharmaHealthAT
Awithonelison
sallyKP
KrochetxKorner
defendressofsan
Rectitude20
avoiceforchoice
BGLTHMND
Notyour28981739
Defendress81M
urbanx_f
Convictuoso
hornswaggled2
TonyBaduy
Plasticdoe
and_kell
Johnny70250027
poandpo
Vaccinizer
BGailQu
ramgbs62123
jkellyca
InsideVaccines
Golfergirl2018
aspiesmom
chrisvcsefalvay
NVICLoeDown
VaccineUK
drfixus
Vaccine_bio
kmerian
DrKND
Patrici41859934
_mamadeb
FurryFr67953489
RonPaul4Constit
arieljones411
jim_herd
tabbyday
AndrewLazarus4
MAhealthforkids
immunotoxPhD
MsTrixter
AlgorithmDancer
SMcMenemin
itsmepanda1
KarenMccartny
LaLaRueFrench75
philosopherstew
soapdoesit
thepetwhisperer
pacifist322
Sandy95455811
green_cait
stopvaccinating
amanda_pompili
NotOfIt7k
hofstetter_mary
JamieConner8
dkegel
t3tragrammat0n
realiwasframed
badzoot7
W3LiveNews
safe_effective
silversynergy
JudicialCaselaw
le_bon_gars
CollChris
xileenie
Earthlingz963
TioChango_
djt10
SarahBonheur33
dfreedman7
OccuWorld
Monstercoyliar
skepticalraptor
BlueLionBlog
gorskon
drgarynull
fiski70
emiliomordini
TutorMiro
weaponizedword1
RobJFalcon
jeremyrhammond
Luma923
handmadekathy
mission2heal
PatrickEnrigh20
kristinsullivan
DemocratFed
MackayIM
bluesapphireRX
joejoe80495073
AkittaLynn
JHowardBrainMD
AmericaDuped
RogueTrader84
uTobian
SciencePharmer
bobsnee
catarinascats1
postpolionews
ianfmusgrave
MAYussuf1
AmeshAA
cyanfiremusic
canada7hansen
PedsID4Life
III_Means_Free
wiggley_dale
LisaPenney
PeterHotez
forcedanarchy
freedomgirl2011
AboutPediatrics
Vaxyourfam
kath2cats
VetcoNM
HelloGeorgeN
OK_AC
KatLaRue7
stevescrutton
DrTessaT
FairGov
LiveIdiotFree
ITDarkTiaLight
JeffBro61583859
sburke85
HSEImm
1blessedbee
markjarthur
GeoffSchuler
WVaxxed
VaxxHappenedBOT
NFIDvaccines
pmgeorgic
Novaccineforce
RicoColon1
vaxxfreeworld
DanaElizabeth69
crabb_vicki
TeddyFreddy11
SueQuez
luciandipeso
Laurel_Austin
EugeneBu
QuatloosX
MeddlinMegs
TfSfmark
Mileystan3
RichardlynnSch2
BollywoodBecky_
WarriorWifeMom
ProVaxx2
NancyFe28442406
KitemanArgues
ckey111
Nancy46co
microRNApro
TheVaccines_bot
jackcolleton
CanuckistanD
dr_zenitram
EdDarrell
vaccinologie
unhealthytruth
PileOfGoop
debunkdenialism
JamesDieckhoff
concettaeedy
chickenlady100
netpoette
SharylAttkisson
dashedscroll
concerned88
FLAutismMom
LeiSurz073
HealthWatch123
TillPeaceWeFind
EvelynPringle
KStateTurk
HyperHygiene
swani741
TinFoilAwards
ImmunizedotCa
GaviSeth
JP1958S
kschang777
802dad
4tealor
Jsmithjax
BillJohnson0102
CEVAXIN_PTY
BadassActivist
FallennAangel
teresa_piatt
warriormama1019
eileeniorio
Finnpal
JaneEOpie
Kiwismommy12
DocBastard
Dicky_Paul_95
WendyOrent
MiaLis79
Proverbs1_7
sabinvaccine
AndyVermaut
alc_anthro
Vaccinologist
LindaMulvey4
SharonLThunder
THEKaceyDea
HelenBranswell
mimetic_
eTweeetz
nhlshitpost
SMcwoof
gnoBREAKTHROUGH
HenningTveit
GrumFromNorwich
NewAutismInfo
adoptdontshopl
truthlovingdr
vScienceBites
ColoradoGal15
Bigsmiffy438
EmmaGPaley
flitesurgn
DrEugenioAli
Lamed_Vav
HivemindRes
jamisings
bioengineerorg
bilingualmomof2
anhisu7
drbrignall
JanHSMich1
Stckysheets
ChrisJohnsonMD
Sendai_Virus
kelly68966394
shannonjachetta
homehealthuae
Tiffany152010
OrthDc
Lovelyy_Jules
PakFightsPolio
markq
CharleneCBlake
babyname_maven
ironorehopper
DonnaYoungDC
CeeAcosta
jp_miner
satoshi_datahub
Equality_7x2521
angelikastalman
HTRPlaylist
mocleirigh_o
ThePolicyBot
sabelmouse
DrSusanNasif
CasparKashkin
Nelle_Lindow
MirageNewsCom
lawnatural
Stonekeeper3
saveMicro
ThisIsCANVax
KaluginaKhan
gavi
luckykelsey
wakeupwithlinda
AnalyticaGlobal
mmelgar09
BiologicalB
FelixWankel125
kfunk937
jeanetteimpia
Takethatdoctors
jenn_m_tweets
BennyDRasmussen
circleofmamas
MaryJo__Perry
AdiMano2
lifebiomedguru
HighWireTalk
eyes0_0wideopen
arguetron
GergoAczel
Juanita87722370
ProdromalStage
libertylives277
dense_evi
lymanbiopharma
Cleggan1
vaccinecurious
ArcaneKnowledge
AlxSchnoppoulop
PoptasticRadio
DenMOthers
OtherVaccines
tiptopsale
Jimcorrsays
TannersDad
BoggyLuuuu
AlastairMcA30
Oddytee77
Cdmakeupartist1
deb16wood
OregonVacTruth
laurast30381821
meld86407242
boysek
ThisMomHCN
LIVE_CRUCIFIED
stephaniekays
seaglass34
cmiller1225
occupythis123
truthseeker6761
blamom
bruce_barrett
Organic_Mumzy
JulieAMcLean
FloBo2018
William95147321
GenerationVax
anarchosage
ramvan55
PassVote
VaccineReaction
pairsonnalitesN
StewartDrea
claireclear3
LTock
GrampaMorris1
JoyGarn31949049
drchriscole
andre__levy
ty_the_np
emartinez78987
LifeLighted
yattypat
TrishaMomOf6
jmb063
REALITYofJNJ
aetiology
debnantz
svagdis
toppediatrician
therealjavalily
NepalPatriot101
CamelliaViolet
ProAntiVaxxer
darrisrules
Danielle43831
margie_moo
ShonadMcDermott
BridgetAshmore
treda10
StopVaxxedLies
carpe_diem0820
MazenSalama
VillaIndieRadio
gametheoryosmer
MsaadKmovida15
HerbsandDirt
Belle_Vivant
ImmunizeCa
YouAreAFartBag
chaoticsx2
allentien
vipintukur
sdgnigeria
4256Apple
kevinault
TheKidKidDoc
ghoppe
JtSebelius
PairsonnalitesA
FrankG1194
AngelBaby00420
StephanieBrys11
TomSiebert
theveganparent
Kateri60270481
Believe_MOthers
JoinerNot
StabellBenn
TakeThatChem
werewecrooked
slealey53
LithiumCa
tombarr26816936
cafe_health
2ndfor1st
cacoethes_carpe
picardonhealth
ClassicLearner
TomthunkitsMind
TheDailyDisease
erikwilson1975
ceestave
PsychYyc
larryfitz45
VaccinateIN
docterzzz
IPoVC
RisetteMD
Hoosiersvaccin8
lite_crypto
1n2by2023
gaudet_neil
DrsMeena
tweek75
ZombieIPU
rsbellmedia
nocompulsoryvac
ShelterAnimals1
KikiwahTara
NeoForPresident
LAURENCEJAMS
Snake_penchak
LaBenicienne
DannyGeorge54
PeterRMare
iBoldNews
LauraDekker1
LifeDorr
LVX1132
zackcapp
mc40_e
re4life
doyouguysthink
BIOCIENCIA2013
pfacncr
CrweWorld
belle_vivant1
ShotAtLife
MCaseum
WHO
SCienceSophs
donaldhackett
djpublius
mabelyang
asiamoonbloom
jerseyshorelisa
FancyFinancy
recoveringkids
Geovax_News
picphysicians
BathshebasJewel
IrishDO33
marivalford
eelcodepeelko
HisAyela
BrianGPowell
historyvaccines
WorkVaccines
EcoInternetDrGB
DrMilesDC
nybybirth
Hollysvaccine
LinnyJackson
Art05268667
sk8diver
JebClampett
DrIanWeissman
MartinCooper222
DrLindaMD
CEPIvaccines
SilentSpring05
TheCaraGia
EgidiaPlain
magtell
NoSb276
DefectingGrey
raycin313
DrPChouinard
DMRHerbs
UsernameNAB
KlaVeld
katiewr31413491
Coliemac
MARS0411
Simon23105395
MilanovNina
MoneCharl
caramastrey
mrhowerton
ColleenHuberNMD
Urisoli
PJMoore1958
PreventTyphoid
EpigeneticWhisp
abdun_nur
Poet_Carl_Watts
USoA34805717
tibetanfighting
JuanGrvas
EurekaMag
SkepticalMutant
MinnReb
CaliVaxChoice
RyanNCTweets
Mofmars333
avenueminga
Lionofamerica71
SagittariusUsNe
ingrx
Christi62293265
regina1775
NSb276
Contagion_Live
Jordan_Sather_
Kelli7997Kelli
VaccinesToday
IAmTheHerd
SickAnimalBot
edrybicki
autism_vaccine
aprillynnclark
IsCoolScience
CDCFlu
TopHealthClinic
noroviruscom
keihatsu23
RMCarpiano
sarahdespres
ruthtaka
PurpleSkyzOOM
PumpknSpiceSoul
rugbyrhino16
spectresmut
mlnangalama
Dietdee
flatbushantiva1
notfollowing
DelilahVeronese
SailorMacaw
ECG_MK
GreySouthwick
HPVvaxSC
smpackham
Shawna_mari3
glenpyle
TSauce33
Zigmund_Fraud
slowbob
TheMayQueen12
jdgimzek
Jesusischrist23
Laurie_Garrett
Athbheochan
renaissanc3m0m
kristenhinkson
mangojuliana
famfightflu
MaryKretzmann
RationalVaxxer
AlSoto9
OkieHen
MalsNaturalLife
Covensure
patrickjane3169
